Token,NE
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.30%,B-Fixed Rate
and,O
the,O
Fund,O
will,O
pay,O
to,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Republic,B-Reference Entity
of,I-Reference Entity
Panama,I-Reference Entity
Government,I-Reference Entity
"Bond,",I-Reference Entity
"8.875%,",O
due,O
09/30/2027.Counterparty:,O
Barclays,B-Counterparty
Bank,I-Counterparty
PLC,I-Counterparty
12/20/08,B-Expiration Date
"1,700",B-Notional Amount
\\,
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.33%,B-Fixed Rate
and,O
the,O
Fund,O
will,O
pay,O
to,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Russian,B-Reference Entity
Federation,I-Reference Entity
Government,I-Reference Entity
"Bond,",I-Reference Entity
"5.00%,",O
due,O
03/31/2030.Counterparty:,O
Barclays,B-Counterparty
Bank,I-Counterparty
PLC,I-Counterparty
12/20/08,B-Expiration Date
"1,700",B-Notional Amount
\\,
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.35%,B-Fixed Rate
and,O
The,O
Fund,O
will,O
pay,O
to,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Republic,B-Reference Entity
of,I-Reference Entity
PERU,I-Reference Entity
Government,I-Reference Entity
"Bond,",I-Reference Entity
"8.75%,",O
due,O
11/21/2033.Counterparty:,O
Barclays,B-Counterparty
Bank,I-Counterparty
PLC,I-Counterparty
12/20/08,B-Expiration Date
"1,700",B-Notional Amount
\\,
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.51%,B-Fixed Rate
and,O
The,O
Fund,O
will,O
pay,O
to,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Republic,B-Reference Entity
of,I-Reference Entity
Indonesia,I-Reference Entity
Government,I-Reference Entity
"Bond,",I-Reference Entity
"6.75%,",O
due,O
03/10/2014.Counterparty:,O
Deutsche,B-Counterparty
Bank,I-Counterparty
AG,I-Counterparty
12/20/08,B-Expiration Date
"1,700",B-Notional Amount
\\,
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.78%,B-Fixed Rate
and,O
The,O
Fund,O
will,O
pay,O
to,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Ukraine,B-Reference Entity
Government,I-Reference Entity
"Bond,",I-Reference Entity
"7.65%,",O
due,O
06/11/2013.Counterparty:,O
Barclays,B-Counterparty
Bank,I-Counterparty
PLC,I-Counterparty
12/20/08,B-Expiration Date
$,O
"1,700",B-Notional Amount
\\,
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.28%,B-Fixed Rate
and,O
the,O
Fund,O
will,O
pay,O
to,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Russian,B-Reference Entity
Federation,I-Reference Entity
Government,I-Reference Entity
"Bond,",I-Reference Entity
"5.00%,",O
due,O
03/31/2030.Counterparty:,O
HSBC,B-Counterparty
Bank,I-Counterparty
USA,I-Counterparty
11/20/07,B-Expiration Date
"1,000",B-Notional Amount
\\,
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.24%,B-Fixed Rate
and,O
the,O
Fund,O
will,O
pay,O
to,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Russian,B-Reference Entity
Federation,I-Reference Entity
Government,I-Reference Entity
"Bond,",I-Reference Entity
"7.50%,",O
due,O
03/31/2030.Counterparty:,O
HSBC,B-Counterparty
Bank,I-Counterparty
USA,I-Counterparty
2/20/08,B-Expiration Date
"1,000",B-Notional Amount
\\,
Receive,B-Direction of Trade
