Token,NE
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
3.35%,B-Fixed Rate
and,O
pay,O
Morgan,B-Counterparty
"Stanley,",I-Counterparty
Inc.,I-Counterparty
upon,O
credit,O
event,O
of,O
Morgan,B-Reference Entity
Stanley,I-Reference Entity
ABS,I-Reference Entity
Capital,I-Reference Entity
"I,",I-Reference Entity
"Inc.,",I-Reference Entity
par,O
value,O
of,O
the,O
notional,O
amount,O
of,O
Morgan,O
Stanley,O
ABS,O
Capital,O
"I,",O
Inc.,O
Series,O
2004.HE8,O
Class,O
"B3,",O
7.3913%,O
9/25/34,O
Oct.,B-Expiration Date
2034,I-Expiration Date
$,O
569000,B-Notional Amount
$,O
139460,O
\\,
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
3.05%,B-Fixed Rate
and,O
pay,O
Merrill,B-Counterparty
Lynch,I-Counterparty
upon,O
credit,O
event,O
of,O
Morgan,B-Reference Entity
Stanley,I-Reference Entity
ABS,I-Reference Entity
Capital,I-Reference Entity
"I,",I-Reference Entity
"Inc.,",I-Reference Entity
par,O
value,O
of,O
the,O
proportional,O
notional,O
amount,O
of,O
Morgan,O
Stanley,O
ABS,O
Capital,O
"I,",O
Inc.,O
Series,O
"2004.NC8,",O
Class,O
"B3,",O
7.2913%,O
9/25/34,O
Oct.,B-Expiration Date
2034,I-Expiration Date
700000,B-Notional Amount
163904,O
\\,
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
3.3%,B-Fixed Rate
and,O
pay,O
Morgan,B-Counterparty
"Stanley,",I-Counterparty
Inc.,I-Counterparty
upon,O
credit,O
event,O
of,O
Ameriquest,B-Reference Entity
Mortgage,I-Reference Entity
"Securities,",I-Reference Entity
"Inc.,",I-Reference Entity
par,O
value,O
of,O
the,O
notional,O
amount,O
of,O
Ameriquest,O
Mortgage,O
"Securities,",O
Inc.,O
Series,O
"2004.R11,",O
Class,O
"M9,",O
6.88%,O
11/25/34,O
Dec.,B-Expiration Date
2034,I-Expiration Date
645000,B-Notional Amount
180097,O
\\,
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
3.35%,B-Fixed Rate
and,O
pay,O
Morgan,B-Counterparty
"Stanley,",I-Counterparty
Inc.,I-Counterparty
upon,O
credit,O
event,O
of,O
Morgan,B-Reference Entity
Stanley,I-Reference Entity
ABS,I-Reference Entity
Capital,I-Reference Entity
"I,",I-Reference Entity
"Inc.,",I-Reference Entity
par,O
value,O
of,O
the,O
notional,O
amount,O
of,O
Morgan,O
Stanley,O
ABS,O
Capital,O
"I,",O
Inc.,O
Series,O
"2004.HE7,",O
Class,O
"B3,",O
9.01%,O
8/25/34,O
Sept.,B-Expiration Date
2034,I-Expiration Date
446779,B-Notional Amount
117474,O
\\,
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
3.35%,B-Fixed Rate
and,O
pay,O
Morgan,B-Counterparty
"Stanley,",I-Counterparty
