Token,NE
"1,00,00,000",B-Notional Amount
USD,O
12/20/2009,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
10/28/2004,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.35%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
Crown,B-Reference Entity
"Americas,",I-Reference Entity
Inc.,I-Reference Entity
$,O
"4,53,013",O
\\,
"50,00,000",B-Notional Amount
USD,O
3/20/2010,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
12/21/2004,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.70%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
Six,B-Reference Entity
Fla,I-Reference Entity
gs,I-Reference Entity
Theme,I-Reference Entity
Parks.,I-Reference Entity
"1,34,876",O
\\,
"30,00,000",B-Notional Amount
USD,O
3/20/2011,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
03/03/05,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
1.85%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
Synivers,B-Reference Entity
e,I-Reference Entity
"Technologies,",I-Reference Entity
Inc.,I-Reference Entity
"90,688",O
\\,
"65,00,000",B-Notional Amount
USD,O
3/20/2010,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
3/16/2005,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.20%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
"Inergy,",B-Reference Entity
L.P.,I-Reference Entity
"2,03,949",O
\\,
"30,00,000",B-Notional Amount
USD,O
6/20/2010,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
04/01/05,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
Pinnacle,B-Reference Entity
En,I-Reference Entity
"tertainment,",I-Reference Entity
Inc.,I-Reference Entity
\\,
"30,00,000",B-Notional Amount
USD,O
3/20/2010,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
5/19/2005,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.40%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
"Inergy,",B-Reference Entity
L.P.,I-Reference Entity
\\,
"30,00,000",B-Notional Amount
USD,O
6/20/2010,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
5/19/2005,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
3.25%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
