Token,NE
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.06%,B-Fixed Rate
and,O
the,O
Fund,O
will,O
pay,O
to,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
American,B-Reference Entity
International,I-Reference Entity
"Group,",I-Reference Entity
Inc.,I-Reference Entity
"5.60%,",O
due,O
10/18/2016Counterparty:,O
Lehman,B-Counterparty
"Securities,",I-Counterparty
Inc.,I-Counterparty
3/20/08,B-Expiration Date
$,O
"8,100",B-Notional Amount
\\,
Receive,B-Direction of Trade
from,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
eventof,O
default,O
of,O
Morgan,B-Reference Entity
Stanley,I-Reference Entity
"BP,",I-Reference Entity
"5.84%,",O
due,O
"10/15/2015,",O
and,O
the,O
Fund,O
will,O
pay,O
a,O
fixed,O
rateequal,O
to,O
0.275%.Counterparty:,B-Fixed Rate
Royal,B-Counterparty
Bank,I-Counterparty
of,I-Counterparty
Scotland,I-Counterparty
PLC,I-Counterparty
12/20/15,B-Expiration Date
$,O
"1,100",B-Notional Amount
12,O
\\,
Receive,B-Direction of Trade
from,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Avebury,B-Reference Entity
Finance,I-Reference Entity
CDO,I-Reference Entity
"PLC,",I-Reference Entity
"7.05%,",O
due,O
01/08/51,O
and,O
the,O
Fund,O
will,O
pay,O
a,O
fixed,O
rate,O
equal,O
to,O
1.80%.Counterparty:,B-Fixed Rate
Merrill,B-Counterparty
Lynch,I-Counterparty
International,I-Counterparty
m,O
01/08/51,B-Expiration Date
"10,000",B-Notional Amount
"3,370",O
\\,
Receive,B-Direction of Trade
a,O
fixed,O
rate,O
equal,O
to,O
0.463%and,B-Fixed Rate
the,O
Fund,O
will,O
pay,O
to,O
the,O
"Counterparty,",O
in,O
the,O
event,O
of,O
default,O
on,O
any,O
of,O
the,O
securities,O
in,O
the,O
Dow,B-Reference Entity
Jones,I-Reference Entity
Credit,I-Reference Entity
Default,I-Reference Entity
Index,I-Reference Entity
CDX.IG.5,I-Reference Entity
10,I-Reference Entity
Year,I-Reference Entity
"Index,",I-Reference Entity
the,O
remaining,O
interest,O
payments,O
on,O
those,O
defaulted,O
securities.Counterparty:,O
Morgan,B-Counterparty
Stanley,I-Counterparty
Capital,I-Counterparty
"Services,",I-Counterparty
Inc.,I-Counterparty
m,O
12/20/15,B-Expiration Date
"9,600",B-Notional Amount
60,O
\\,
Receive,B-Direction of Trade
from,O
the,O
"Counterparty,",O
in,O
the,O
event,O
of,O
default,O
on,O
any,O
of,O
the,O
securities,O
in,O
the,O
Dow,B-Reference Entity
Jones,I-Reference Entity
CDX.IG.5,I-Reference Entity
7,I-Reference Entity
year,I-Reference Entity
"Index,",I-Reference Entity
the,O
remaining,O
interest,O
payments,O
on,O
those,O
defaulted,O
securities,O
and,O
the,O
Fund,O
will,O
pay,O
a,O
fixed,O
rate,O
equal,O
to,O
0.142%.Counterparty:,B-Fixed Rate
Morgan,B-Counterparty
Stanley,I-Counterparty
Capital,I-Counterparty
Serv,I-Counterparty
"ices,",I-Counterparty
Inc.,I-Counterparty
m,O
12/20/12,B-Expiration Date
"13,400",B-Notional Amount
\\,
Receive,B-Direction of Trade
from,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
of,O
default,O
of,O
Kraft,B-Reference Entity
"Foods,",I-Reference Entity
"Inc.,",I-Reference Entity
"5.625%,",O
due,O
"11/1/2011,",O
and,O
the,O
Fund,O
will,O
pay,O
a,O
fixed,O
rate,O
equal,O
to,O
0.15%.Counterparty:,B-Fixed Rate
Royal,B-Counterparty
Bank,I-Counterparty
of,I-Counterparty
Scotland,I-Counterparty
PLC,I-Counterparty
12/20/11,B-Expiration Date
"4,000",B-Notional Amount
\\,
Receive,B-Direction of Trade
from,O
the,O
counterparty,O
at,O
the,O
notional,O
amount,O
in,O
the,O
event,O
