Token,NE
"40,00,000",B-Notional Amount
USD,O
9/20/2008,B-Expiration Date
Agreement,O
with,O
Credit,B-Counterparty
Suisse/First,I-Counterparty
Boston,I-Counterparty
dated,O
01/10/04,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.45%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
only,O
upon,O
a,O
default,O
event,O
on,O
underlying,O
loan,O
assets,O
(47,O
in,O
"total,",O
each,O
representing,O
2.13%,O
of,O
the,O
notional,O
value,O
of,O
the,O
swap).,O
\\,
"20,00,000",B-Notional Amount
USD,O
9/20/2008,B-Expiration Date
Agreement,O
with,O
Credit,B-Counterparty
Suisse/First,I-Counterparty
Boston,I-Counterparty
dated,O
2/13/2004,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.45%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
only,O
upon,O
a,O
default,O
event,O
on,O
underlying,O
loan,O
assets,O
(47,O
in,O
"total,",O
each,O
representing,O
2.13%,O
of,O
the,O
notional,O
value,O
of,O
the,O
swap).,O
\\,
"20,00,000",B-Notional Amount
USD,O
9/20/2008,B-Expiration Date
Agreement,O
with,O
Credit,B-Counterparty
Suisse/First,I-Counterparty
Boston,I-Counterparty
dated,O
3/23/2004,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.45%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
only,O
upon,O
a,O
default,O
event,O
on,O
underlying,O
loan,O
assets,O
(39,O
in,O
"total,",O
each,O
representing,O
2.56%,O
of,O
the,O
notional,O
value,O
of,O
the,O
swap).,O
\\,
"1,00,00,000",B-Notional Amount
USD,O
12/20/2009,B-Expiration Date
Agreement,O
with,O
Lehman,B-Counterparty
Brothers,I-Counterparty
dated,O
10/28/2004,O
whereby,O
the,O
Portfolio,O
will,O
receive,B-Direction of Trade
2.35%,B-Fixed Rate
per,O
year,O
times,O
the,O
notional,O
amount.,O
The,O
Portfolio,O
makes,O
a,O
payment,O
of,O
the,O
notional,O
amount,O
only,O
upon,O
a,O
default,O
event,O
on,O
the,O
reference,O
"entity,",O
a,O
Revolving,O
Credit,O
Agreement,O
issued,O
by,O
Crown,B-Reference Entity
"Americas,",I-Reference Entity
Inc.,I-Reference Entity
\\,
"50,00,000",B-Notional Amount
USD,O
