Token,NE
Receive,B-Direction of Trade
monthly,O
a,O
fixed,O
rate,O
of,O
0.15%,B-Fixed Rate
multiplied,O
by,O
the,O
notional,O
amount,O
and,O
pay,O
to,O
UBS,B-Counterparty
upon,O
each,O
credit,O
event,O
of,O
one,O
of,O
the,O
issues,O
of,O
ABX,B-Reference Entity
AA,I-Reference Entity
7.1,I-Reference Entity
"Index,",I-Reference Entity
par,O
value,O
of,O
the,O
proportional,O
notional,O
amount,O
Rating.C,O
Upfront,O
Payment,O
Made/Received,O
"$176,000",O
h,O
Sept.,B-Expiration Date
2037,I-Expiration Date
$,O
538,B-Notional Amount
$,O
503,O
\\,
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
0.82%,B-Fixed Rate
and,O
pay,O
UBS,B-Counterparty
upon,O
credit,O
event,O
of,O
Morgan,B-Reference Entity
Stanley,I-Reference Entity
ABS,I-Reference Entity
Capital,I-Reference Entity
"I,",I-Reference Entity
"Inc.,",I-Reference Entity
par,O
value,O
of,O
the,O
notional,O
amount,O
of,O
Morgan,O
Stanley,O
ABS,O
Capital,O
"I,",O
Inc.,O
Series,O
2004.NC6,O
Class,O
"M3,",O
5.64%,O
7/25/34,O
g,O
August,B-Expiration Date
2034,I-Expiration Date
403,B-Notional Amount
222,O
\\,
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
0.85%,B-Fixed Rate
and,O
pay,O
UBS,B-Counterparty
upon,O
credit,O
event,O
of,O
Morgan,B-Reference Entity
Stanley,I-Reference Entity
ABS,I-Reference Entity
Capital,I-Reference Entity
"I,",I-Reference Entity
"Inc.,",I-Reference Entity
par,O
value,O
of,O
the,O
notional,O
amount,O
of,O
Morgan,O
Stanley,O
ABS,O
Capital,O
"I,",O
Inc.,O
Series,O
2004.NC8,O
Class,O
"M6,",O
5.44%,O
9/25/34g,O
Oct.,B-Expiration Date
2034,I-Expiration Date
484,B-Notional Amount
202,O
\\,
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
2.50%,B-Fixed Rate
and,O
pay,O
Credit,B-Counterparty
Suisse,I-Counterparty
First,I-Counterparty
Boston,I-Counterparty
upon,O
credit,O
event,O
of,O
Ameriquest,B-Reference Entity
Mortgage,I-Reference Entity
"Securities,",I-Reference Entity
"Inc.,",I-Reference Entity
par,O
value,O
of,O
the,O
notional,O
amount,O
of,O
Ameriquest,O
Mortgage,O
"Securities,",O
Inc.,O
Series,O
2004.R11,O
Class,O
"M9,",O
8.03%,O
11/25/34,O
Rating.Cg,O
Dec.,B-Expiration Date
2034,I-Expiration Date
"1,282",B-Notional Amount
"1,250",O
\\,
Receive,B-Direction of Trade
monthly,O
notional,O
amount,O
multiplied,O
by,O
2.54%,B-Fixed Rate
and,O
pay,O
Merrill,B-Counterparty
Lynch,I-Counterparty
upon,O
credit,O
event,O
of,O
Countrywide,B-Reference Entity
Home,I-Reference Entity
"Loans,",I-Reference Entity
"Inc.,",O
par,O
value,O
of,O
the,O
notional,O
amount,O
