Token,NE
Fund,O
pays,B-Direction of Trade
monthly,O
payment,O
of,O
0.05%,B-Fixed Rate
0.62%,O
per,O
annum,O
times,O
the,O
notional,O
amount,O
of,O
the,O
CMBX,B-Reference Entity
NA.A,I-Reference Entity
3,I-Reference Entity
Index.,I-Reference Entity
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
receives,O
the,O
notional,O
amount,O
and,O
delivers,O
the,O
defined,O
deliverable,O
obligation.,O
\\,
Counterparty:,O
Goldman,B-Counterparty
Sachs,I-Counterparty
12/25/49,B-Expiration Date
$,O
"1,000",B-Notional Amount
$,O
164,O
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.24%,B-Fixed Rate
0.95%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Lowe's,B-Reference Entity
"Inc.,",I-Reference Entity
"8.25%,",O
06/01/2010.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
03/20/13,B-Expiration Date
"1,000",B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.15%,B-Fixed Rate
0.59%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Safeway,B-Reference Entity
"Inc.,",I-Reference Entity
"5.80%,",O
08/15/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Bank,B-Counterparty
of,I-Counterparty
America,I-Counterparty
03/20/13,B-Expiration Date
"1,250",B-Notional Amount
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.07%,B-Fixed Rate
0.27%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Southwest,B-Reference Entity
Airlines,I-Reference Entity
"Co.,",I-Reference Entity
"6.50%,",O
03/01/2012.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
59,O
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.11%,B-Fixed Rate
0.45%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Lubrizol,B-Reference Entity
"Corp.,",I-Reference Entity
"7.25%,",O
06/15/2035.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
11,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.17%,B-Fixed Rate
0.69%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Donnelley,B-Reference Entity
R.R.,I-Reference Entity
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
27,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.05%,B-Fixed Rate
0.20%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
PPG,B-Reference Entity
Industries,I-Reference Entity
"Inc.,",I-Reference Entity
"7.05%,",O
08/15/2009.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
Counterparty:,O
JPMorgan,B-Counterparty
Chase,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
15,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.11%,B-Fixed Rate
0.45%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Lubrizol,B-Reference Entity
"Corp.,",I-Reference Entity
"7.25%,",O
06/15/2025.,O
\\,
Upon,B-O
a,O
defined,O
credit,O
"event,",O
Fund,O
will,O
receive,O
the,O
notional,O
amount,O
and,O
deliver,O
the,O
defined,O
obligation.,O
\\,
Counterparty:,O
Merrill,B-Counterparty
Lynch,I-Counterparty
12/20/11,B-Expiration Date
750,B-Notional Amount
11,O
\\,
Fund,O
pays,B-Direction of Trade
quarterly,O
payment,O
of,O
0.11%,B-Fixed Rate
0.44%,O
per,O
annum,O
times,O
notional,O
amount,O
of,O
Autozone,B-Reference Entity
"Inc.,",I-Reference Entity
"5.875%,",O
10/15/2012.,O
\\,
